experiment_id,experiment_label,fold,loss,binary_threshold,roc_auc,sensitivity,specificity,PPV,NPV,accuracy,F1
D8NuhY3k_default_top25_gr1,Xgboost + time independent,0,112880.71025867168,100,0.7918402777777778,0.8625,0.6041666666666667,0.685430463576159,0.8146067415730338,0.7333333333333334,0.7638376383763839
D8NuhY3k_default_top25_gr1,Xgboost + time independent,0,112880.71025867168,365,0.7208096694335226,0.8571428571428571,0.5045871559633027,0.6337209302325582,0.7793522267206477,0.6808650065530799,0.728690807799443
D8NuhY3k_default_top25_gr1,Xgboost + time independent,0,112880.71025867168,1000,0.7030739379084967,0.7083333333333334,0.6887254901960784,0.6947115384615385,0.7025,0.6985294117647058,0.7014563106796118
D8NuhY3k_default_top25_gr1,Xgboost + time independent,1,107003.29467068709,100,0.7363076923076923,0.924,0.4725274725274725,0.636594894158263,0.8614472313486659,0.6982637362637363,0.7538326370335838
D8NuhY3k_default_top25_gr1,Xgboost + time independent,1,107003.29467068709,365,0.7054679909316636,0.7627118644067796,0.5923566878980892,0.6516926482796789,0.7139882888744307,0.6775342761524343,0.7028452049343413
D8NuhY3k_default_top25_gr1,Xgboost + time independent,1,107003.29467068709,1000,0.6696189626608895,0.8421052631578947,0.5544794188861986,0.6539984164687253,0.7783542039355993,0.6982923410220466,0.7362263940727536
D8NuhY3k_default_top25_gr1,Xgboost + time independent,2,87959.25127783028,100,0.7877864871773026,0.8512396694214877,0.654639175257732,0.7113816796610772,0.8148364176255369,0.7529394223396098,0.7750518782848166
D8NuhY3k_default_top25_gr1,Xgboost + time independent,2,87959.25127783028,365,0.7392261353104727,0.7884615384615384,0.5963855421686747,0.6614188532555879,0.7381703470031545,0.6924235403151066,0.7193742733326286
D8NuhY3k_default_top25_gr1,Xgboost + time independent,2,87959.25127783028,1000,0.7200617717253966,0.5294117647058824,0.8973747016706444,0.8376277210128832,0.6559934318555007,0.7133932331882633,0.6487741935483872
D8NuhY3k_default_top25_gr1,Xgboost + time independent,3,107362.42994558749,100,0.7656807325671137,0.7768924302788844,0.6492146596858639,0.6889312271096149,0.7442372070779532,0.7130535449823742,0.7302726390400281
D8NuhY3k_default_top25_gr1,Xgboost + time independent,3,107362.42994558749,365,0.6579765437332202,0.6857142857142857,0.5786350148367952,0.6193904120079645,0.6480250664641094,0.6321746502755405,0.6508670985394118
D8NuhY3k_default_top25_gr1,Xgboost + time independent,3,107362.42994558749,1000,0.6265397536394176,0.3684210526315789,0.8770685579196218,0.7498100785008863,0.581360824742268,0.6227448052756004,0.49407642249290834
D8NuhY3k_default_top25_gr1,Xgboost + time independent,4,96947.61486161946,100,0.7457603686635945,0.7620967741935484,0.6342857142857143,0.6757308925981163,0.7272343011121972,0.6981912442396314,0.7163199670806848
D8NuhY3k_default_top25_gr1,Xgboost + time independent,4,96947.61486161946,365,0.7607803169499311,0.6785714285714286,0.7652733118971061,0.7429900666415189,0.7042164218535347,0.7219223702342674,0.7093211691975271
D8NuhY3k_default_top25_gr1,Xgboost + time independent,4,96947.61486161946,1000,0.6995380241648899,0.6666666666666666,0.6691542288557214,0.6683291770573566,0.6674937965260546,0.667910447761194,0.6674968866749689
43KOTlpS_default_top25_gr1,Xgboost + time dependent,0,69473.7887669294,100,0.9524456521739131,0.90625,0.8478260869565217,0.8562259306803595,0.9004329004329005,0.8770380434782609,0.8805280528052806
